ms,discovered,discovered_others
12073,2,1
24064,5,4
36076,7,6
48073,7,6
60055,12,11
72053,12,11
84067,12,11
96088,12,11
108026,12,11
120066,12,11
132028,12,11
144082,13,12
156033,13,12
168036,13,12
180030,13,12
192029,13,12
204036,13,12
216060,13,12
228083,13,12
240025,13,12
252064,13,12
264063,13,12
276065,13,12
288051,13,12
300085,13,12
312069,13,12
324064,13,12
336045,13,12
348040,13,12
360031,13,12
372059,13,12
384028,13,12
396046,13,12
408049,13,12
420056,13,12
432038,13,12
444058,13,12
456032,13,12
468047,13,12
480037,13,12
492063,13,12
504048,13,12
516050,13,12
528039,13,12
540037,13,12
552084,13,12
564052,13,12
576072,13,12
588058,13,12
600057,13,12
612083,13,12
624051,13,12
636060,13,12
648029,13,12
660030,13,12
672038,13,12
684068,13,12
696024,13,12
708057,13,12
720022,13,12
732035,13,12
744068,13,12
756036,13,12
768074,13,12
780071,13,12
792072,13,12
804047,13,12
816054,13,12
828026,13,12
840068,13,12
852070,13,12
864076,13,12
876086,13,12
888046,13,12
900044,13,12
912084,13,12
924074,13,12
936078,13,12
948047,13,12
960041,13,12
972059,13,12
984085,13,12
996075,13,12
1008050,13,12
1020049,13,12
1032063,13,12
1044040,13,12
1056053,13,12
1068074,13,12
1080023,13,12
1092063,13,12
1104042,13,12
1116082,13,12
1128021,13,12
1140064,13,12
1152074,13,12
1164035,13,12
1176044,13,12
1188070,13,12
1200049,13,12
1212045,13,12
1224060,13,12
1236027,13,12
1248056,13,12
1260067,13,12
1272074,13,12
1284033,13,12
1296056,13,12
1308084,13,12
1320035,13,12
1332047,13,12
1344045,13,12
1356024,13,12
1368080,13,12
1380037,13,12
1392079,13,12
1404085,13,12
1416081,13,12
1428070,13,12
1440030,13,12
1452047,13,12
1464051,13,12
1476039,13,12
1488034,13,12
1500081,13,12
1512079,13,12
1524086,14,13
1536057,14,13
1548077,14,13
1560038,14,13
1572058,14,13
1584037,14,13
1596051,14,13
1608065,14,13
1620069,14,13
1632068,14,13
1644082,14,13
1656075,14,13
1668042,14,13
1680031,14,13
1692023,14,13
1704054,14,13
1716024,14,13
1728081,14,13
1740071,14,13
1752067,14,13
1764045,14,13
1776069,14,13
1788080,14,13
1800080,14,13
1812083,14,13
1824029,14,13
1836075,14,13
1848063,14,13
1860083,14,13
1872038,14,13
1884041,14,13
1896025,14,13
1908045,14,13
1920072,14,13
1932023,14,13
1944041,14,13
1956044,14,13
1968075,14,13
1980047,14,13
1992054,14,13
2004062,14,13
2016030,14,13
2028063,14,13
2040072,14,13
2052059,14,13
2064027,14,13
2076047,14,13
2088039,14,13
2100028,14,13
2112075,14,13
2124043,14,13
2136036,14,13
2148051,14,13
2160075,14,13
2172072,14,13
2184044,14,13
2196030,14,13
2208047,14,13
2220045,14,13
2232062,14,13
2244039,14,13
2256047,14,13
2268022,14,13
2280053,14,13
2292069,14,13
2304045,14,13
2316071,14,13
2328041,14,13
2340049,14,13
2352036,14,13
2364059,14,13
2376030,14,13
2388048,14,13
2400086,14,13
2412070,14,13
2424088,14,13
2436044,14,13
2448044,14,13
2460058,14,13
2472039,14,13
2484024,14,13
2496049,14,13
2508024,14,13
2520075,14,13
2532062,14,13
2544045,14,13
2556026,14,13
2568066,14,13
2580023,14,13
2592079,14,13
2604030,14,13
2616025,14,13
2628086,14,13
2640062,14,13
2652075,14,13
2664062,14,13
2676039,14,13
2688046,14,13
2700030,14,13
2712045,14,13
2724078,14,13
2736083,14,13
2748076,14,13
2760027,14,13
2772068,14,13
2784067,14,13
2796022,14,13
2808063,14,13
2820024,14,13
2832076,14,13
2844080,14,13
2856079,14,13
2868086,14,13
2880071,14,13
2892078,14,13
2904085,14,13
2916040,14,13
2928056,14,13
2940081,14,13
2952069,14,13
2964062,14,13
2976030,14,13
2988026,14,13
3000027,14,13
3012051,14,13
3024024,14,13
3036077,14,13
3048051,14,13
3060079,14,13
3072050,14,13
3084072,14,13
3096069,14,13
3108040,14,13
3120065,14,13
3132024,14,13
3144060,14,13
3156035,14,13
3168045,14,13
3180038,14,13
3192033,14,13
3204029,18,17
3216045,18,17
3228021,18,17
3240037,18,17
3252072,18,17
3264052,18,17
3276029,18,17
3288025,18,17
3300084,18,17
3312022,18,17
3324042,18,17
3336025,18,17
3348051,18,17
3360077,18,17
3372032,18,17
3384041,18,17
3396079,18,17
3408049,18,17
3420024,18,17
3432044,18,17
3444082,18,17
3456078,18,17
3468059,18,17
3480033,18,17
3492040,18,17
3504021,18,17
3516080,18,17
3528021,18,17
3540077,18,17
3552025,18,17
3564063,18,17
3576055,18,17
3588050,18,17
3600051,18,17
3612069,18,17
3624053,18,17
3636042,18,17
3648071,18,17
3660028,18,17
3672052,18,17
3684026,18,17
3696078,18,17
3708060,18,17
3720028,18,17
3732064,18,17
3744022,18,17
3756043,18,17
3768030,18,17
3780023,18,17
3792053,18,17
3804070,18,17
3816082,18,17
3828021,18,17
3840074,18,17
3852034,18,17
3864024,18,17
3876035,18,17
3888062,18,17
3900060,18,17
3912050,18,17
3924021,19,18
3936080,19,18
3948021,19,18
3960056,19,18
3972040,19,18
3984077,19,18
3996026,19,18
4008056,19,18
4020084,19,18
4032068,19,18
4044076,19,18
4056068,19,18
4068044,19,18
4080083,19,18
4092036,19,18
4104055,19,18
4116022,19,18
4128032,19,18
4140059,19,18
4152072,19,18
4164039,19,18
4176059,19,18
4188024,19,18
4200080,19,18
4212054,19,18
4224062,19,18
4236044,19,18
4248059,19,18
4260082,19,18
4272055,19,18
4284025,19,18
4296058,19,18
4308049,19,18
4320021,19,18
4332068,19,18
4344021,19,18
4356060,19,18
4368056,19,18
4380043,19,18
4392040,19,18
4404028,19,18
4416059,19,18
4428049,19,18
4440027,19,18
4452024,19,18
4464050,19,18
4476078,19,18
4488043,19,18
4500052,19,18
4512075,19,18
4524039,19,18
4536040,19,18
4548070,19,18
4560077,19,18
4572025,19,18
4584035,19,18
4596058,19,18
4608074,19,18
4620063,19,18
4632040,19,18
4644063,19,18
4656048,19,18
4668072,19,18
4680044,19,18
4692038,19,18
4704038,19,18
4716072,19,18
4728048,19,18
4740080,19,18
4752046,19,18
4764021,19,18
4776048,19,18
4788047,19,18
4800032,19,18
4812089,19,18
4824036,19,18
4836049,19,18
4848026,19,18
4860038,19,18
4872052,19,18
4884050,19,18
4896056,19,18
4908062,19,18
4920037,19,18
4932069,19,18
4944056,19,18
4956053,19,18
4968068,19,18
4980081,19,18
4992036,19,18
5004074,19,18
5016079,19,18
5028028,19,18
5040061,19,18
5052082,19,18
5064024,19,18
5076035,19,18
5088037,19,18
5100020,19,18
5112038,19,18
5124027,19,18
5136047,19,18
5148028,19,18
5160076,19,18
5172022,19,18
5184027,19,18
5196038,19,18
5208046,19,18
5220088,19,18
5232080,19,18
5244055,19,18
5256084,19,18
5268048,19,18
5280042,19,18
5292058,19,18
5304022,19,18
5316034,19,18
5328037,19,18
5340032,19,18
5352041,19,18
5364022,19,18
5376058,19,18
5388026,19,18
5400078,19,18
5412067,19,18
5424046,19,18
5436030,19,18
5448029,19,18
5460043,19,18
5472070,19,18
5484040,19,18
5496040,19,18
5508081,19,18
5520022,19,18
5532071,19,18
5544037,19,18
5556050,19,18
5568065,19,18
5580082,19,18
5592052,19,18
5604075,19,18
5616045,19,18
5628048,19,18
5640062,19,18
5652074,19,18
5664064,19,18
5676065,19,18
5688032,19,18
5700064,19,18
5712066,19,18
5724050,19,18
5736086,19,18
5748021,19,18
5760025,19,18
5772057,19,18
5784022,19,18
5796054,19,18
5808064,19,18
5820067,19,18
5832021,19,18
5844056,19,18
5856061,19,18
5868062,19,18
5880073,19,18
5892035,19,18
5904034,19,18
5916045,19,18
5928069,19,18
5940056,19,18
5952065,19,18
5964049,19,18
5976047,19,18
5988027,19,18
6000074,19,18
6012027,19,18
