ms,discovered
12012,1
24069,1
36013,1
48034,4
60032,4
72047,4
84030,9
96013,9
108085,9
120066,9
132013,9
144067,10
156037,10
168038,10
180034,12
192013,13
204039,13
216023,13
228047,14
240060,14
252046,14
264031,14
276051,14
288014,14
300012,14
312011,14
324037,17
336017,17
348053,17
360016,17
372034,17
384024,18
396067,18
408030,18
420013,18
432070,18
444015,18
456036,18
468024,18
480070,18
492028,18
504046,18
516033,18
528045,18
540057,18
552036,18
564066,18
576020,18
588047,18
600015,18
612067,18
624015,18
636012,18
648054,18
660042,18
672012,18
684034,18
696061,18
708015,18
720021,18
732020,18
744068,18
756024,18
768014,19
780017,19
792073,19
804012,19
816038,19
828033,19
840020,19
852062,19
864013,19
876017,19
888016,19
900022,19
912037,19
924048,19
936046,19
948028,19
960066,19
972043,19
984046,19
996054,19
1008011,19
1020027,19
1032036,19
1044017,19
1056030,19
1068012,19
1080047,19
1092012,19
1104013,19
1116026,19
1128042,19
1140020,19
1152068,19
1164062,19
1176014,19
1188012,19
1200018,19
1212012,19
1224024,19
1236046,19
1248037,19
1260042,19
1272049,19
1284016,19
1296052,19
1308019,19
1320018,19
1332012,19
1344012,19
1356029,19
1368057,19
1380034,19
1392015,19
1404076,19
1416042,19
1428012,19
1440020,19
1452013,19
1464013,19
1476051,19
1488036,19
1500036,19
1512036,19
1524074,19
1536046,19
1548032,19
1560017,19
1572073,19
1584030,19
1596034,19
1608013,19
1620022,19
1632045,19
1644024,19
1656062,19
1668013,19
1680070,19
1692011,19
1704059,19
1716019,19
1728058,19
1740055,19
1752026,19
1764068,19
1776083,19
1788069,19
1800029,19
1812011,19
1824058,19
1836058,19
1848066,19
1860073,19
1872065,19
1884012,19
1896013,19
1908053,20
